k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
85,4.276196,0.145,6.468882,0.101,5.927362,0.088,6.860766,0.196,7.172828,0.158
86,4.059265,0.145,8.225900,0.101,7.120851,0.089,6.133731,0.197,6.506492,0.157
87,3.693333,0.148,7.548379,0.102,6.834371,0.089,7.103908,0.198,7.343380,0.158
88,3.951737,0.150,8.171590,0.104,6.482644,0.090,7.408112,0.198,6.850250,0.156
89,4.069019,0.151,7.204735,0.105,6.726340,0.089,6.739820,0.198,7.517989,0.155
90,4.129798,0.147,7.842420,0.103,7.354079,0.089,7.236431,0.197,6.730073,0.160
91,3.469387,0.147,7.747199,0.106,7.425360,0.091,9.015244,0.199,6.994628,0.161
92,4.017908,0.146,8.978576,0.105,6.339039,0.091,7.386577,0.198,7.593652,0.164
93,4.431310,0.147,7.246273,0.105,5.975996,0.091,6.623027,0.198,9.689804,0.164
94,3.965838,0.147,8.283029,0.107,7.807506,0.092,5.743013,0.198,5.875368,0.162
95,4.131566,0.145,7.618402,0.107,6.569668,0.095,8.800821,0.197,7.083214,0.165
96,4.520185,0.147,7.330086,0.107,7.320671,0.095,6.851464,0.196,6.984851,0.163
97,4.042658,0.144,8.063312,0.108,7.541756,0.095,7.503716,0.194,7.432917,0.163
98,4.782545,0.143,8.438895,0.109,7.756478,0.095,7.314536,0.195,7.274496,0.163
99,4.345430,0.139,8.117638,0.111,6.869091,0.095,7.964921,0.197,6.707664,0.161
