k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
89,2.374594,0.315,1.358581,0.178,1.098557,0.141,0.817032,0.354,0.795087,0.337
90,2.829742,0.315,1.581590,0.181,1.056454,0.144,0.818899,0.353,0.795439,0.337
91,2.331781,0.316,1.567367,0.180,1.084407,0.144,0.785319,0.350,0.780569,0.333
92,2.285822,0.318,1.481079,0.180,1.103166,0.147,0.778350,0.351,0.824071,0.333
93,2.840579,0.317,1.453131,0.177,1.090379,0.145,0.804747,0.349,0.830655,0.333
94,2.574343,0.315,1.570222,0.179,1.083199,0.145,0.825059,0.350,0.780312,0.337
95,2.336483,0.313,1.492993,0.184,1.080466,0.144,0.813457,0.350,0.786875,0.340
96,2.282624,0.315,1.588114,0.184,1.117933,0.147,0.849903,0.351,0.802905,0.341
97,2.414190,0.312,1.421183,0.183,1.106379,0.148,0.808928,0.352,0.797930,0.337
98,2.518339,0.310,1.422470,0.187,1.090110,0.148,0.797523,0.352,0.780314,0.334
99,2.347479,0.311,1.677214,0.185,1.117259,0.148,0.817580,0.351,0.798497,0.333
